CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	NonSteadyStateOutlier00	NonSteadyStateOutlier01	NonSteadyStateOutlier02	X	Y	Z	RotX	RotY	RotZ
7298.9126	6589.7080000000005	9445.681	0.98762995	44.77075195	0.98663324	0.15953853499999998	-0.046218828600000005	-0.0302793677	0.0270088907	-0.0073981898	0.024746611	-0.0145195581	0.0333590646	0.054410436	-0.0549298812	0.040262278900000004	-0.028110483199999998	0.0922977581	0.0665753023	0.0663014597	0.06584588940000001	0.06520984	0.0643950551	0.0634037678	0.0	0.0	0.0	0.0225508	0.0581719	0.024296	-0.000925264	0.000423906	0.0
7310.6587	6585.446	9440.136999999999	0.97956115	44.40497971	0.98106885	0.086042765	-0.0460428737	-0.0357431892	0.049570177300000004	-0.0447440283	0.0137996467	0.0266931215	0.0342623533	0.0490420985	0.0194678868	-0.0595650488	0.0061938438	-0.0165960396	0.0665493219	0.0661977005	0.0656130405	0.0647974	0.0637536504	0.062485465999999996	0.0	0.0	0.0	0.025119	0.020547	0.0112692	-0.000474918	0.000560541	-6.94763e-05
7308.569	6594.2676	9431.669	0.96788651	43.8757515	0.97377568	0.035954484999999994	-0.0412359572	-0.0375529916	0.0319277387	-0.0341861206	0.0036814447999999997	-0.0175432471	0.0136832973	0.0575163111	0.0219973852	-0.023453764300000002	0.0426662242	0.0306980623	0.0665200979	0.066081036	0.0653514116	0.064334433	0.0630345717	0.0614575434	0.0	0.0	0.0	0.0251183	0.0286571	0.027396	-0.000383005	0.000503796	-0.00015515599999999996
7304.5127	6585.3859999999995	9429.915	0.98580521	44.68803406	0.98226976	0.08716204999999999	-0.0314964528	-0.0453323157	0.0607611967	-0.0537118004	-0.0352476896	-0.0053181202	0.0032423311	0.0445641226	-0.0718599419	-0.0216832384	0.035457044900000005	0.028486317599999998	0.0664876318	0.0659514889	0.0650611175	0.06382129980000001	0.0622386951	0.06032180349999999	0.0	0.0	0.0	0.0204276	0.0536926	0.010700500000000002	-0.000931655	0.000310541	-0.000228058
7304.1357	6585.187	9420.771999999999	0.99718446	45.20387268	0.98645264	0.09326255	-0.0229379717	-0.0465144514	-0.010847798	-0.0484266671	-0.0336308513	0.0206866684	0.009277858100000001	0.0487423416	0.0035882628000000003	-0.06745905049999999	0.026807336400000003	0.0464597588	0.0664519252	0.0658090843	0.06474228530000001	0.0632584008	0.0613669902	0.0590802386	0.0	0.0	0.0	0.0251229	0.0148272	0.0273901	-0.000293352	0.000310541	-0.00025
7280.976	6581.2417	9413.715	0.98069882	44.45655441	0.98207307	0.08491595	-0.0041519461	-0.0557655057	-0.0268579566	-0.0332165439	0.025287131600000002	0.0113482606	-0.0176075197	0.0423813921	-0.0192812983	0.0199967629	-0.0144845102	0.0676051633	0.0664129799	0.0656538502	0.0643950551	0.0626461747	0.0604205191	0.05773502690000001	0.0	0.0	0.0	0.015119	0.0557278	0.0356827	-0.000625652	0.000384353	-0.000141735
7310.484	6576.0127	9416.101	0.97978461	44.41511154	0.98255163	0.11971711	0.0033416141999999998	-0.053321551200000004	-0.0076699147	-0.0378325894	-0.0490443238	-0.0167637502	-0.0085335848	0.05330389940000001	-0.0153174083	-0.0628801043	0.0406093675	-0.0004951076	0.0663707976	0.0654858167	0.06401957900000001	0.0619850991	0.0594004349	0.056288528399999996	0.0	0.0	0.0	-0.00898202	0.0480902	0.00916681	-0.0008530299999999998	-0.000475786	-5.29396e-23
7294.71	6598.3516	9415.629	0.98371375	44.59322357	0.98163736	0.11993922	0.0147294977	-0.054122219299999996	-0.0623680212	-0.0418878127	-0.0082801266	0.0020723798	-0.0315500002	0.0616366871	0.055444025599999995	0.0339098832	0.0095687606	-0.0180973322	0.0663253806	0.0653050166	0.0636160219	0.0612756893	0.058307980499999995	0.05474328059999999	0.0	0.0	0.0	-0.0225874	0.0265696	0.0334948	-0.000293352	-0.000961364	0.000164449
7305.8154	6591.7407	9414.1875	0.97251767	44.08568954	0.97724646	0.06312980000000001	0.0267280861	-0.0545695768	-0.0548400559	-0.0126576769	-0.0015895297	-0.0166553392	-0.0387466702	0.0376482522	-0.0136754435	0.0734284421	0.012123246499999999	-0.0360319296	0.0662767309	0.0651114852	0.0631845607	0.060518498600000005	0.0571444867	0.0531019945	0.0	0.0	0.0	-0.0252572	0.0502694	0.0344261	-0.000610527	-0.00072641	0.0
7285.943	6577.5103	9416.367	0.99642116	45.16926956	0.99219847	0.09309407	0.0438128075	-0.050645788899999995	-0.0277495889	-0.008434597	-0.0921208298	-0.013973080300000001	-0.0526005545	0.028539790099999997	-0.0543157973	0.0007568167	0.0955902448	-0.0337359079	0.066224851	0.0649052602	0.0627253846	0.0597141173	0.055911371200000004	0.051367549500000005	0.0	0.0	0.0	-0.0252432	0.0290241	0.00306238	-0.000812257	-0.000479581	0.000360862
