CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	NonSteadyStateOutlier00	NonSteadyStateOutlier01	X	Y	Z	RotX	RotY	RotZ
7203.0019999999995	6581.6978	9273.474	1.06230295	52.50457001	1.03375185	0.06398875	0.0679734673	-0.0418317735	-0.0533657228	0.0650489668	-0.0664128246	0.0651901058	0.010144393	-0.05897232	-0.0106870388	-0.07784143980000001	-0.0122338938	0.0683325412	0.06546135389999999	0.062105710099999996	0.0566398043	0.049249360199999995	0.0401854942	0.029756183399999997	0.0	0.0	-0.0205521	0.0415084	0.0162632	-0.000190207	-0.000272571	0.000255959
7205.418000000001	6581.4893	9275.959	1.04378831	51.58947754	1.02026367	0.04134673	0.0534187725	-0.0754477566	0.0190494471	-0.026547509	-0.0800177821	-0.0236628836	0.0568846976	-0.010913936200000002	-0.0171541337	-0.0224147686	0.037557301	0.030080974	0.06537462320000001	0.0617649071	0.0558956233	0.0479814897	0.038312032	0.0272409915	0.0	0.0	-0.0205433	0.0477545	0.0427403	-2.69904e-05	-0.000272571	0.000265037
7185.8506	6575.1333	9279.224	1.00946355	49.89296722	1.00173318	0.02360022	0.022649532000000003	-0.0422611392	0.0561826162	-0.0186716034	-0.0326645681	-0.0800236989	0.0984675233	0.0360903619	-0.024787477000000002	-0.0208184722	0.07363325150000001	0.0191712751	0.0652847203	0.061412116399999994	0.0551270332	0.0466763705	0.0363920994	0.024678221299999997	0.0	0.0	-0.0185246	0.0577578	0.0378107	-7.811679999999998e-05	-0.000272571	0.000183191
7203.878000000001	6564.7515	9283.779	1.03730273	51.26892853	1.02649856	0.16592251	0.011214770800000001	-0.0273452838	0.08083697940000001	0.0220809304	0.0239850403	-0.018085852	0.0624108252	0.055606603899999996	0.0860250544	0.010458776999999999	-0.0187833974	0.0383273369	0.06519164969999999	0.0610474062	0.054334369699999996	0.0453350157	0.0344280249	0.0220723489	0.0	0.0	0.0128449	0.0836592	0.0406246	-0.0008684819999999998	0.000711397	-0.00015923
7216.9214	6576.719	9272.604	1.05032516	51.91256714	1.03091824	0.10157478	0.028628365299999996	0.027690351600000003	0.0610113022	0.016891907299999998	0.08245465540000001	0.0712708099	0.0091050326	0.0661229106	0.030265129300000002	-0.0204271103	0.0602815725	0.0519397584	0.0650954158	0.0606708475	0.0535179789	0.0439584665	0.0324221909	0.0194279256	0.0	0.0	0.0162611	0.043919	0.0114078	-0.000473524	0.000615866	-6.56874e-05
7182.4604	6567.215	9263.11	1.04006612	51.40550995	1.02783012	0.13539377	0.050378894400000006	0.0681384251	0.0255386152	-0.0580919464	0.08021141429999999	0.0654791109	-0.0379221206	0.0655038301	-0.0507030052	-0.0233001285	0.0730106549	0.0841234387	0.0649960232	0.060282513200000006	0.0526782173	0.0425477917	0.0303770305	0.0167495701	0.0	0.0	0.0189085	-0.00910579	0.0195469	0.000641705	0.000392988	-0.00015923
7174.7026	6563.302	9247.948	1.02059114	50.4429512	1.01087785	0.04544959	0.0568973701	0.044170025099999996	-0.045621954699999995	-0.0113322073	0.0556075388	-0.035656578700000004	-0.0620320027	-0.006554132900000001	-0.0009806258	0.0220488923	0.0965644142	0.0182521271	0.06489347690000001	0.0598824788	0.0518154517	0.0411040864	0.028295024300000002	0.0140419603	0.0	0.0	0.0191175	0.0138969	0.0272209	0.000465187	0.000507748	-0.00015923
7182.9688	6566.5244	9254.511	1.05545461	52.16609192	1.02634847	0.110804965	0.0635454854	0.009391645	-0.06804782870000001	0.0578399352	-0.006278135400000001	-0.037444378	-0.0467441233	-0.0436002429	0.0618298861	0.0316086566	0.05285861769999999	0.0227658977	0.0647877818	0.059470821900000005	0.0509300588	0.039628471299999996	0.0261786976	0.0113098252	0.0	0.0	0.0105605	0.0637213	0.0222947	-0.000186209	0.000691982	-4.49127e-05
7216.0234	6570.1230000000005	9270.155999999999	1.08708155	53.72925568	1.04852915	0.073138555	0.0675344128	-0.043862234800000004	-0.023600789700000003	0.0554259662	-0.0632394047	0.034035363	0.0173567528	-0.0473726456	0.0787683223	-0.04319709309999999	-0.01681979	0.0051677182	0.064678943	0.0590476225	0.0500224252	0.038122092	0.0240306175	0.008557936700000001	0.0	0.0	0.00886512	0.07398159999999998	0.00630784	-0.0008933409999999998	0.000609511	-0.00015923
7197.263000000001	6580.3237	9275.254	1.09404576	54.07346725	1.05923963	0.1847513	0.0478843105	-0.0440455522	0.066125559	-0.0272267487	-0.045295744400000004	-0.0910905183	0.0878883835	0.0196552339	0.0094662528	-0.0505123838	0.0854595501	-0.0359790762	0.0645669658	0.0586129625	0.0490929473	0.0365861179	0.0218533895	0.0057911010999999995	0.0	0.0	0.015954699999999995	-0.0151395	0.00974901	0.000554098	0.000691982	-0.000331309
7214.604	6565.731	9290.714	1.04704058	51.75022125	1.03095317	0.14805509	0.0068713829	0.010859983	0.0604737053	-0.05913289150000001	-0.0132862155	-0.015035543500000002	0.0497431712	0.0604921899	0.0151620251	0.0216942558	0.0473322275	-0.0923604939	0.0644518557	0.0581669265	0.048142030999999995	0.0350217414	0.0196496544	0.0030141510999999997	0.0	0.0	0.00870515	0.0480212	0.0372858	-0.000148444	0.000502926	-0.000220746
7184.6196	6569.6885	9299.98	1.00546992	49.69558334	0.99957043	0.018656800000000005	0.011765633999999999	0.0449798317	0.044607317300000005	-0.0426289935	0.048875824500000005	0.0238747914	-0.024395594399999998	0.0713434188	0.0593187208	0.045375827	0.1009121592	-0.012271744	0.0643336182	0.0577096009	0.0471700916	0.0334301769	0.0174220852	0.0002319365	0.0	0.0	0.00671775	0.0530474	0.0373136	-0.000274146	0.000457836	-0.00015923
7199.854	6554.0703	9295.999	0.99974775	49.4127655	1.00468123	0.07248873	0.0361988293	0.0686263629	0.019372711299999998	0.0088056897	0.06879575	0.0059513395	-0.0571952009	0.0572284609	0.1281716597	0.0305197572	0.023956029700000003	0.0028804358	0.06421225900000001	0.0572410746	0.046177553499999996	0.0318126601	0.015173384	-0.0025506831	0.0	0.0	0.00976018	0.0714357	0.0223905	-0.000762698	0.000691982	-0.00015923
