CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	NonSteadyStateOutlier00	NonSteadyStateOutlier01	NonSteadyStateOutlier02	NonSteadyStateOutlier03	NonSteadyStateOutlier04	NonSteadyStateOutlier05	NonSteadyStateOutlier06	NonSteadyStateOutlier07	NonSteadyStateOutlier08	X	Y	Z	RotX	RotY	RotZ
7033.007	6165.2519999999995	8778.186	1.06100869	52.79319	1.02998197	0.13427287999999998	0.010852656	-0.055422964500000005	0.0820428271	0.0373308901	0.0860732595	0.066028445	0.0054380735	-0.0584819945	0.0573907625	-0.069427719	-0.0449712024	-0.0027188933	0.0671118254	0.0671004855	0.067081587	0.0670551321	0.0670211238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.014578	-0.0497052	-0.0219833	-6.79442e-05	-0.000415762	0.000165993
7012.64	6159.2837	8766.692	1.04227817	51.86120224	1.01964676	0.10301631999999998	-0.038785946200000004	-0.041323169300000004	-0.011283795400000001	0.0703494267	0.040146246600000005	0.015355028100000001	-0.0452834304	-0.0543278371	0.0204327997	0.042684172699999995	0.014786703600000001	-0.043804301600000005	0.0671051054	0.06707360820000001	0.0670211238	0.06694766860000001	0.0668532657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0172414	-0.0373653	-0.00944288	-6.79442e-05	0.000485603	0.000141026
7001.6895	6159.58	8767.176	1.04328465	51.91128159	1.0283215	0.115571965	-0.0669882856	-0.0109552629	-0.0519795979	-0.0030308877	0.07927209889999999	-0.05407013559999999	-0.0564751016	0.0016577917	-0.044548707	-0.0014790772	-0.0206498714	0.028844586600000003	0.0670950257	0.0670332989	0.066930463	0.066786581	0.0666017412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0118506	-0.000665545	-0.0219796	-0.00091023	0.000407095	-0.000157074
6992.2437	6159.4043	8754.763	1.06064701	52.77519226	1.03639174	0.178855275	-0.0420507313	0.040810976	-0.015065509099999999	-0.0675261207	-0.0555975601	-0.0292711371	-0.041997908099999995	0.0442407525	-0.024818616499999998	-0.0320594333	0.0318942695	-0.051702175999999996	0.067081587	0.0669795659	0.0668096455	0.0665719983	0.0662668651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0191834	-0.0734225	-0.0287309	0.00010941700000000003	4.91206e-05	0.000305589
6983.6304	6153.358	8751.32	1.0227102	50.88755035	1.01287568	0.184632597	-0.0271868609	0.0652981102	0.0772026582	-0.0013925727	-0.0213080256	-0.0470951566	-0.0233853752	0.0579530392	0.0739309649	-0.0314445386	0.0598213892	0.0366757549	0.06706478980000001	0.0669124197	0.0666587258	0.0663040924	0.0658490565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.000153717	-0.0217407	-0.0141739	-0.0007890249999999998	-0.000584542	0.0007546179999999998
6988.0884	6157.1675	8751.716999999999	1.04793763	52.14280319	1.01903391	0.036398717	0.0003625045	0.06800325089999999	0.0590122134	0.0201448846	0.015387813	-0.0418725647	-0.0033651928	0.04975571980000001	0.0324972007	0.002153576	-0.0788233294	-0.010783069199999998	0.0670446351	0.06683187389999999	0.0664777718	0.0659830779	0.06534883820000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0191921	-0.0220811	-0.0150191	-0.0007890249999999998	-0.000334543	0.000687271
6983.616	6170.8667	8753.458	1.02618039	51.060215	1.01159048	0.10758369	0.0390769208	0.0488668265	-0.0134664005	0.0854070612	-0.0509541233	0.007290610899999999	0.030048665699999998	0.0426386588	0.0258433175	0.0694676452	-0.0054236371	-0.0104306403	0.0670211238	0.06673794450000001	0.0662668651	0.0656092118	0.0647668362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0215151	-0.0561865	0.00822789	-0.000113242	-0.000173256	0.000566175
6960.379	6155.2837	8750.357	1.01900923	50.70339966	1.01197255	0.13454259	0.048577143899999994	0.0286817488	-0.0822082417	0.022348488700000002	0.0014844536	-0.0246704831	0.0578895217	0.0148212579	-0.027049682000000002	0.0421325395	0.0102190227	-0.0048183669	0.0669942571	0.0666306505	0.0660261007	0.0651827937	0.064103779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0271322	0.0180783	0.0025048	-0.000946265	-0.000214517	0.000670643
7011.1963	6166.767	8752.418	1.04468286	51.98085785	1.02831948	0.16987961799999998	0.0665585397	-0.004672346	0.0063888566	-0.0400234994	0.0295350315	0.0443154211	0.0584365434	-0.0226680381	-0.048743458600000004	0.0200102534	0.04563159	-0.0588028125	0.0669640363	0.06651001320000001	0.065755587	0.0647041651	0.0633604964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0455357	-0.0454027	-0.000271083	-5.31193e-05	0.000342376	0.000416297
6971.8984	6151.8555	8745.386999999999	1.02695394	51.09870911	1.0125103	0.091646417	0.0347760553	-0.0445267118	0.043608349000000005	-0.0380435863	-0.0128108979	0.039758362900000004	0.0470691045	-0.0560472178	-0.0021664641	0.0025795124	0.0424814313	-0.0128083043	0.066930463	0.06637605690000001	0.065455446	0.0641737094	0.0625379185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0355368	-0.00436498	0.000885129	-0.000315707	0.000295953	0.000896358
6990.5938	6152.383000000001	8748.07	1.00791669	50.15146255	1.00502825	0.100091649	0.013518321100000001	-0.0474128725	0.0578290789	-0.011778166999999999	0.0253702208	0.0153925618	0.0051647721	-0.05777688190000001	-0.027888989700000002	-0.0581635946	-0.047528794299999996	0.0150909953	0.0668935389	0.06622880839999999	0.0651258129	0.0635918514	0.061637074900000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0501554	-0.0454375	-0.0104835	-0.000432024	0.000355	0.000411084
6967.904	6164.221	8746.809000000001	0.9916622	49.34267807	0.98851687	0.02166155	-0.0162236012	-0.0690986603	0.048598751600000004	0.016776181799999998	0.0121003254	-0.0062703275	-0.0190973437	-0.0593288014	0.0155160427	-0.028544734	0.011974475200000001	0.0104052552	0.0668532657	0.0660682971	0.0647668362	0.06295905730000001	0.0606590928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048147	-0.0315426	-0.0104822	-0.000453218	0.000402279	0.00045775
6985.665	6150.735	8748.882	1.00699115	50.10540771	1.00173867	0.07017925	-0.0493293173	-0.050187049000000004	0.0097762664	0.0391905833	0.0544864128	-0.0625135839	-0.0631349501	-0.0369102386	0.023883165	0.022664207000000002	-0.0353661923	0.0241305881	0.0668096455	0.0658945552	0.0643786777	0.062275833899999994	0.0596051964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0544086	-0.0106674	-0.0316878	-0.0007559589999999998	0.000376708	0.000566175
6973.3687	6165.723000000001	8743.623	1.02920628	51.21077728	1.01022053	0.09631415	-0.0543058015	-0.042423661200000004	-0.0521909812	0.0465446086	0.061959016	-0.0524508941	-0.0780034456	-0.0398068094	-0.0030385035	0.014566531399999999	-0.1025612908	-0.0266708765	0.0667626806	0.0657076175	0.0639615122	0.0615427285	0.0584767044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0543881	-0.0615574	-0.0212125	-0.00024723	0.000566546	0.000566175
6959.509	6161.0386	8736.332	1.00107467	49.81101608	0.99435329	0.0982033	-0.0669807811	-0.0157369106	-0.0483254172	-0.011478809599999999	0.0350182963	-0.056098798899999996	-0.079672854	-0.015227399099999999	-0.036910662000000004	0.0403202669	-0.018491428600000002	0.0451914441	0.06671237320000001	0.06550752139999999	0.06351552769999999	0.0607603281	0.0572750292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0543973	-0.012872	-0.0272118	-0.0008770069999999999	0.000475767	0.000715807
6974.097	6153.0986	8728.539	1.00197542	49.85583878	0.99948072	0.08694444999999999	-0.0751011603	-0.0010341683000000001	-0.0662711068	-0.0164915395	0.0591088591	-0.033267224500000005	-0.06760186530000001	0.013633368600000001	-0.0783219885	-0.0178884581	-0.031867789199999996	0.042184309100000004	0.0666587258	0.065294307	0.0630409252	0.059929259699999994	0.0560016747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0581374	-0.0523072	-0.0243674	-0.000172602	0.000499793	0.000625743
6949.8896	6146.9805	8720.501	1.00848556	50.17976379	1.00096035	0.08336225	-0.0640666807	0.0216941142	-0.0405070073	-0.053625100599999996	-0.0144628735	-0.0059648908999999995	-0.0674281751	0.0414848767	-0.10948451070000001	0.0156453111	0.012746898400000001	-0.0076711868	0.0666017412	0.065068017	0.0625379185	0.0590501887	0.0546582345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0544035	-0.0168262	-0.0120185	-0.000646396	0.000428693	0.000716818
6979.956999999999	6159.956	8730.883	1.08030069	53.75311279	1.02579415	0.022600399999999993	-0.0525980163	0.0696833883	0.07717094719999999	-0.0443734238	-0.067254918	-0.0542760187	-0.035900411800000004	0.0733010184	0.0141891128	-0.0360126091	0.1054605115	0.0303747108	0.06654142219999999	0.0648286967	0.0620067343	0.058123819400000006	0.0532463898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625931	-0.0170506	-0.00841745	-0.00070537	0.000426603	0.000566175
