trial,onset,duration,gain,loss,RT,participant_response,ID,run,risk,use,accept,group,gender,age
32,219.331,4,18,8,1.4569999999999999,weakly_accept,1,2,9.848857801796104,True,1,equalIndifference,M,24.0
33,227.332,4,34,20,1.5590000000000002,weakly_accept,1,2,19.72308292331602,True,1,equalIndifference,M,24.0
34,233.233,4,20,6,1.974,strongly_accept,1,2,10.44030650891055,True,1,equalIndifference,M,24.0
35,241.334,4,16,11,1.1420000000000001,weakly_accept,1,2,9.7082439194738,True,1,equalIndifference,M,24.0
36,246.535,4,38,18,1.972,weakly_accept,1,2,21.02379604162864,True,1,equalIndifference,M,24.0
37,252.03599999999997,4,16,15,1.768,weakly_accept,1,2,10.965856099730654,True,1,equalIndifference,M,24.0
38,257.02299999999997,4,18,6,1.767,strongly_accept,1,2,9.486832980505138,True,1,equalIndifference,M,24.0
39,262.223,4,36,9,1.038,strongly_accept,1,2,18.553975315279473,True,1,equalIndifference,M,24.0
40,269.624,4,10,19,1.561,strongly_reject,1,2,10.735455276791944,True,0,equalIndifference,M,24.0
41,277.824,4,30,7,1.04,strongly_accept,1,2,15.402921800749363,True,1,equalIndifference,M,24.0
42,283.325,4,16,7,1.455,weakly_accept,1,2,8.73212459828649,True,1,equalIndifference,M,24.0
43,291.72700000000003,4,28,16,1.455,weakly_accept,1,2,16.1245154965971,True,1,equalIndifference,M,24.0
44,301.028,4,20,11,1.351,weakly_accept,1,2,11.412712210513327,True,1,equalIndifference,M,24.0
45,308.029,4,26,18,1.767,weakly_accept,1,2,15.811388300841896,True,1,equalIndifference,M,24.0
46,315.631,4,40,5,1.146,strongly_accept,1,2,20.155644370746373,True,1,equalIndifference,M,24.0
47,322.532,4,26,13,1.662,strongly_accept,1,2,14.534441853748634,True,1,equalIndifference,M,24.0
48,328.13300000000004,4,24,15,1.351,weakly_accept,1,2,14.150971698084906,True,1,equalIndifference,M,24.0
49,334.23400000000004,4,18,17,1.974,weakly_accept,1,2,12.379418403139947,True,1,equalIndifference,M,24.0
50,343.936,4,12,14,1.9769999999999999,weakly_reject,1,2,9.219544457292887,True,0,equalIndifference,M,24.0
51,353.024,4,34,7,1.249,strongly_accept,1,2,17.356554957709783,True,1,equalIndifference,M,24.0
52,359.125,4,40,7,1.246,strongly_accept,1,2,20.303940504246953,True,1,equalIndifference,M,24.0
53,365.325,4,28,7,2.287,strongly_accept,1,2,14.430869689661812,True,1,equalIndifference,M,24.0
54,372.725,4,22,16,1.665,weakly_accept,1,2,13.601470508735444,True,1,equalIndifference,M,24.0
55,378.325,4,16,8,1.8719999999999999,weakly_accept,1,2,8.94427190999916,True,1,equalIndifference,M,24.0
56,385.226,4,10,12,1.455,weakly_reject,1,2,7.810249675906654,True,0,equalIndifference,M,24.0
57,394.12800000000004,4,24,6,1.666,strongly_accept,1,2,12.36931687685298,True,1,equalIndifference,M,24.0
58,399.92800000000005,4,28,18,1.767,weakly_accept,1,2,16.64331697709324,True,1,equalIndifference,M,24.0
59,407.63,4,40,8,0.9359999999999999,strongly_accept,1,2,20.396078054371138,True,1,equalIndifference,M,24.0
60,413.031,4,14,18,1.767,weakly_reject,1,2,11.40175425099138,True,0,equalIndifference,M,24.0
61,420.63199999999995,4,24,11,1.456,weakly_accept,1,2,13.200378782444085,True,1,equalIndifference,M,24.0
62,429.634,4,24,16,1.455,weakly_accept,1,2,14.422205101855956,True,1,equalIndifference,M,24.0
63,435.635,4,24,20,1.768,weakly_accept,1,2,15.620499351813308,True,1,equalIndifference,M,24.0
64,441.036,4,32,15,1.6640000000000001,strongly_accept,1,2,17.67059704707229,True,1,equalIndifference,M,24.0
1,4.047,4,20,14,1.456,weakly_accept,1,3,12.206555615733702,True,1,equalIndifference,M,24.0
2,10.029,4,32,18,1.867,weakly_accept,1,3,18.35755975068582,True,1,equalIndifference,M,24.0
3,16.529,4,34,18,1.7690000000000001,strongly_accept,1,3,19.235384061671343,True,1,equalIndifference,M,24.0
4,25.429000000000002,4,36,15,2.287,strongly_accept,1,3,19.5,True,1,equalIndifference,M,24.0
